id:ID(Concept),name:String,language:String,sense:String,partOfSpeech:String
/c/en/abstract/v/consider_a_concept_without_thinking_of_a_specific_example,abstract,en,consider_a_concept_without_thinking_of_a_specific_example,v
/c/en/abstract/v,abstract,en,,v
/c/en/abstract/v/consider_apart_from_a_particular_case_or_instance,abstract,en,consider_apart_from_a_particular_case_or_instance,v
/c/en/nonrepresentational/a/of_or_relating_to_a_style_of_art_in_which_objects_do_not_resemble_those_known_in_physical_nature,nonrepresentational,en,of_or_relating_to_a_style_of_art_in_which_objects_do_not_resemble_those_known_in_physical_nature,a
/c/en/abstract/a/not_representing_or_imitating_external_reality_or_the_objects_of_nature,abstract,en,not_representing_or_imitating_external_reality_or_the_objects_of_nature,a
/c/en/concrete/a/capable_of_being_perceived_by_the_senses,concrete,en,capable_of_being_perceived_by_the_senses,a
/c/en/abstraction/n/a_concept_or_idea_not_associated_with_any_specific_instance,abstraction,en,a_concept_or_idea_not_associated_with_any_specific_instance,n
/c/en/abstraction,abstraction,en,,
/c/en/ideal/a/constituting_or_existing_only_in_the_form_of_an_idea_or_mental_image_or_conception,ideal,en,constituting_or_existing_only_in_the_form_of_an_idea_or_mental_image_or_conception,a
/c/en/abstractness/n/the_quality_of_being_considered_apart_from_a_specific_instance_or_object,abstractness,en,the_quality_of_being_considered_apart_from_a_specific_instance_or_object,n
/c/en/see/v/deem_to_be,see,en,deem_to_be,v
/c/en/wave,wave,en,,
/c/en/sound,sound,en,,
/c/en/arm,arm,en,,
/c/en/brandish,brandish,en,,
/c/en/ocean,ocean,en,,
/c/en/movement,movement,en,,
/c/en/water,water,en,,
/c/en/motion,motion,en,,
/c/en/surf,surf,en,,
/c/en/future,future,en,,
/c/en/past,past,en,,
/c/en/future/a/yet_to_be_or_coming,future,en,yet_to_be_or_coming,a
/c/en/past/n/the_time_that_has_elapsed,past,en,the_time_that_has_elapsed,n
/c/en/present/a/temporal_sense,present,en,temporal_sense,a
/c/en/future/a/effective_in_or_looking_toward_the_future,future,en,effective_in_or_looking_toward_the_future,a
/c/en/emerge/a/coming_to_maturity,emerge,en,coming_to_maturity,a
/c/en/proximo/a/in_or_of_the_next_month_after_the_present,proximo,en,in_or_of_the_next_month_after_the_present,a
/c/en/future/n/the_time_yet_to_come,future,en,the_time_yet_to_come,n
/c/en/commodity_future,commodity_future,en,,
/c/en/futurity/n/the_quality_of_being_in_or_of_the_future,futurity,en,the_quality_of_being_in_or_of_the_future,n
/c/en/electronic/a/of_or_concerned_with_electrons,electronic,en,of_or_concerned_with_electrons,a
/c/en/electronically/r/by_electronic_means,electronically,en,by_electronic_means,r
/c/en/electronic/a/of_or_relating_to_electronics,electronic,en,of_or_relating_to_electronics,a
/c/en/electronics/n,electronics,en,,n
/c/en/telecommunication/n,telecommunication,en,,n
/c/en/acoustoelectronic,acoustoelectronic,en,,
/c/en/postelectronic,postelectronic,en,,
/c/en/most_stopwatch,most_stopwatch,en,,
/c/en/electronics/n/the_branch_of_physics_that_deals_with_the_emission_and_effects_of_electrons_and_with_the_use_of_electronic_devices,electronics,en,the_branch_of_physics_that_deals_with_the_emission_and_effects_of_electrons_and_with_the_use_of_electronic_devices,n
/c/en/electron/n/an_elementary_particle_with_negative_charge,electron,en,an_elementary_particle_with_negative_charge,n
/c/en/electronic,electronic,en,,
/c/en/inexperienced/a/lacking_practical_experience_or_training,inexperienced,en,lacking_practical_experience_or_training,a
/c/en/raw/a/not_treated_with_heat_to_prepare_it_for_eating,raw,en,not_treated_with_heat_to_prepare_it_for_eating,a
/c/en/unfair/a/not_fair,unfair,en,not_fair,a
/c/en/untreated/a/not_subjected_to_chemical_or_physical_treatment,untreated,en,not_subjected_to_chemical_or_physical_treatment,a
